id:INT:4,nombre:VARCHAR:50,edad:INT:4,telefono:INT:4
1,Ana,25,1234567890
2,Juan,30,9876543210
3,Lucía,22,5551112222
4,Carlos,40,3334445555
5,María,35,6667778888
6,Pedro,28,9990001111
7,Sofía,31,2223334444
8,Luis,29,7778889999
9,Rosa,45,4445556666
10,Pablo,50,8889990000
11,Elena,27,1112223333
12,Diego,33,6665554444
13,Marta,26,3332221111
14,Andrés,38,9998887777
15,Isabel,24,2221110000
16,Jorge,42,7776665555
17,Silvia,23,4443332222
18,Ricardo,47,8887776666
19,Patricia,32,1110009999
20,Fernando,36,5554443333
21,Beatriz,29,9998887777
22,Roberto,41,2223334444
23,Carmen,34,7776665555
24,Manuel,39,3334445555
25,Adriana,31,8889990000
26,Guillermo,48,1112223333
27,Raquel,26,6665554444
28,Alberto,43,3332221111
29,Diana,30,9998887777
30,Sergio,27,2221110000
31,Teresa,44,7776665555
32,Francisco,37,4443332222
33,Olga,49,8887776666
34,Martín,32,1110009999
35,Luisa,35,5554443333
36,Antonio,46,9998887777
37,Claudia,28,2223334444
38,Javier,33,7776665555
39,Alicia,40,3334445555
40,Ramón,51,8889990000
41,Victoria,29,1112223333
42,Alfonso,38,6665554444
43,Inés,25,3332221111
44,Enrique,42,9998887777
45,Esther,30,2221110000
46,Agustín,47,7776665555
47,Marina,34,4443332222
48,José,52,8887776666
49,Concepción,31,1110009999
50,Alfredo,36,5554443333
51,Rebeca,28,9998887777
52,Arturo,43,2223334444
53,Eva,39,7776665555
54,Ignacio,45,3334445555
55,Cecilia,32,8889990000
56,Félix,50,1112223333
57,Consuelo,27,6665554444
58,Rodrigo,44,3332221111
59,Gloria,29,9998887777
60,Héctor,35,2221110000
61,Verónica,48,7776665555
62,Óscar,33,4443332222
63,Pilar,41,8887776666
64,Guadalupe,30,1110009999
65,Santiago,37,5554443333
66,Aurora,48,9998887777
67,Julio,34,2223334444
68,Rosario,42,7776665555
69,Emilio,39,3334445555
70,Lorena,31,8889990000
71,Salvador,49,1112223333
72,Manuela,26,6665554444
73,Raúl,45,3332221111
74,Esperanza,30,9998887777
75,Vicente,36,2221110000
76,Alejandra,47,7776665555
77,Joaquín,33,4443332222
78,Nuria,40,8887776666
79,Almudena,29,1110009999
80,Segundo,38,5554443333
81,Cristina,48,9998887777
82,Teodoro,35,2223334444
83,Amparo,43,7776665555
84,Valentín,40,3334445555
85,Asunción,32,8889990000
86,Hilario,51,1112223333
87,Ángeles,27,6665554444
88,Leandro,44,3332221111
89,Adela,30,9998887777
90,Heriberto,37,2221110000
91,Elvira,49,7776665555
92,Benito,34,4443332222
93,Candelaria,41,8887776666
94,Anastasio,31,1110009999
95,Matilde,38,5554443333
96,Donato,48,9998887777
97,Jacinta,35,2223334444
98,Honorio,42,7776665555
99,Genoveva,39,3334445555
100,Bernardo,32,8889990000
